Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1560718800.0 136.765 NA 84 384 0 NA NA NA 154 749 0 NA NA NA 548 13474 721 NA NA NA 692 4955 1156 NA NA
1560718800.0 136.767 NA 81 347 0 NA NA NA 153 722 0 NA NA NA 495 11417 736 NA NA NA 715 4406 911 NA NA
1560718800.0 136.768 NA 81 364 0 NA NA NA 157 725 0 NA NA NA 877 16337 910 NA NA NA 1753 6286 1164 NA NA
1560718800.0 136.769 NA 84 352 0 NA NA NA 164 658 0 NA NA NA 604 10143 732 NA NA NA 1893 3990 980 NA NA
1560718800.0 136.77 NA 81 372 0 NA NA NA 156 701 0 NA NA NA 522 10973 729 NA NA NA 999 4344 996 NA NA
1560718800.0 136.771 NA 82 354 0 NA NA NA 159 734 0 NA NA NA 571 10305 731 NA NA NA 699 4101 903 NA NA
1560718800.0 136.772 NA 82 370 0 NA NA NA 166 811 0 NA NA NA 561 12373 729 NA NA NA 844 5093 871 NA NA
1560718800.0 136.7721 NA 167 0 NA NA NA NA 299 0 NA NA NA NA 4604 126 NA NA NA NA 6369 254 NA NA NA
1560718800.0 136.7722 NA 153 0 NA NA NA NA 260 0 NA NA NA NA 4825 118 NA NA NA NA 6606 297 NA NA NA
1560718800.0 136.773 NA 83 377 0 NA NA NA 159 843 0 NA NA NA 528 11214 733 NA NA NA 677 4529 882 NA NA
1560718800.0 136.774 NA 82 365 0 NA NA NA 160 683 0 NA NA NA 550 11020 720 NA NA NA 581 4524 781 NA NA
1560718800.0 136.775 NA 82 353 0 NA NA NA 152 700 0 NA NA NA 561 10247 720 NA NA NA 1316 4051 918 NA NA
1560718800.0 136.776 NA 82 376 0 NA NA NA 156 723 0 NA NA NA 525 9677 725 NA NA NA 699 3881 895 NA NA
1560718800.0 136.777 NA 82 374 0 NA NA NA 153 763 0 NA NA NA 510 11477 725 NA NA NA 675 4727 940 NA NA
1560718800.0 136.778 NA 85 343 0 NA NA NA 161 711 0 NA NA NA 461 7282 725 NA NA NA 774 3266 869 NA NA
1560718800.0 136.779 NA 82 350 0 NA NA NA 164 704 0 NA NA NA 603 10504 720 NA NA NA 915 4244 856 NA NA
1560718800.0 136.7801 NA 85 NA NA NA NA NA 156 NA NA NA NA NA 393 NA NA NA NA NA 1590 NA NA NA NA
1560718800.0 136.7802 NA 69 0 NA NA NA NA 142 0 NA NA NA NA 413 225 NA NA NA NA 1574 1002 NA NA NA
1560718800.0 136.7803 NA 80 NA NA NA NA NA 155 NA NA NA NA NA 561 NA NA NA NA NA 1610 NA NA NA NA
1560718800.0 136.784 NA 104 426 0 NA NA NA 190 759 0 NA NA NA 566 17237 972 NA NA NA 608 6382 1207 NA NA
1560718800.0 136.79 NA 109 404 0 NA NA NA 191 762 0 NA NA NA 611 9582 845 NA NA NA 771 3946 953 NA NA
1560718800.0 136.793 NA 104 415 0 NA NA NA 179 843 0 NA NA NA 518 12672 898 NA NA NA 745 5254 983 NA NA
1560718800.0 136.794 NA 106 414 0 NA NA NA 183 711 0 NA NA NA 599 13165 888 NA NA NA 879 4980 964 NA NA
1560718800.0 136.7952 NA 177 0 NA NA NA NA 294 0 NA NA NA NA 3615 202 NA NA NA NA 2953 856 NA NA NA
1560718800.0 136.796 NA 106 424 0 NA NA NA 184 749 0 NA NA NA 508 13209 886 NA NA NA 768 5682 958 NA NA
1560718800.0 136.801 NA 103 394 0 NA NA NA 183 709 0 NA NA NA 472 9036 891 NA NA NA 1074 3953 1094 NA NA
1560718800.0 136.803 NA 106 338 0 NA NA NA 188 683 0 NA NA NA 706 3698 957 NA NA NA 1118 5020 1419 NA NA
1560718800.0 136.804 NA 104 418 0 NA NA NA 193 737 0 NA NA NA 580 12453 908 NA NA NA 887 4970 976 NA NA
1560718800.0 136.809 NA 105 412 0 NA NA NA 185 716 0 NA NA NA 630 13162 925 NA NA NA 839 5047 1128 NA NA
1560718800.0 136.811 NA 105 466 0 NA NA NA 177 843 0 NA NA NA 545 12479 921 NA NA NA 582 5105 1000 NA NA
1560718800.0 136.813 NA 104 398 0 NA NA NA 188 759 0 NA NA NA 488 9008 915 NA NA NA 1341 3890 1009 NA NA
1560718800.0 136.815 NA 107 344 0 NA NA NA 197 669 0 NA NA NA 524 2981 799 NA NA NA 1222 2630 894 NA NA
1560718800.0 136.816 NA 105 423 0 NA NA NA 184 740 0 NA NA NA 847 20620 1128 NA NA NA 1257 8435 1279 NA NA
1560718800.0 136.817 NA 105 434 0 NA NA NA 187 724 0 NA NA NA 535 17235 930 NA NA NA 800 8648 1143 NA NA
1560718800.0 136.818 NA 113 424 0 NA NA NA 184 706 0 NA NA NA 751 19160 1194 NA NA NA 2544 7860 1479 NA NA
1560718800.0 136.824 NA 104 456 0 NA NA NA 185 814 0 NA NA NA 726 23818 1135 NA NA NA 1220 8653 1326 NA NA
1560718800.0 136.826 NA 106 415 0 NA NA NA 184 792 0 NA NA NA 631 17617 984 NA NA NA 908 7868 1203 NA NA
1560718800.0 136.827 NA 104 344 0 NA NA NA 186 630 0 NA NA NA 671 3906 995 NA NA NA 1633 3770 1367 NA NA
1560718800.0 136.8311 NA 167 0 NA NA NA NA 300 0 NA NA NA NA 2418 173 NA NA NA NA 3218 655 NA NA NA
1560718800.0 136.833 NA 105 430 0 NA NA NA 184 776 0 NA NA NA 792 23492 1137 NA NA NA 1294 8565 1498 NA NA
1560718800.0 136.837 NA 103 416 0 NA NA NA 182 691 0 NA NA NA 676 16878 1129 NA NA NA 1191 6988 1318 NA NA
1560718800.0 136.839 NA 110 347 0 NA NA NA 191 668 0 NA NA NA 694 3906 980 NA NA NA 1511 3593 1179 NA NA
1560718800.0 136.842 NA 103 438 0 NA NA NA 182 818 0 NA NA NA 657 22460 1122 NA NA NA 2081 8020 1467 NA NA
1560718800.0 136.845 NA 105 405 0 NA NA NA 190 762 0 NA NA NA 618 12658 889 NA NA NA 836 5380 985 NA NA
1560718800.0 136.846 NA 106 399 0 NA NA NA 186 724 0 NA NA NA 595 11969 937 NA NA NA 893 5279 1241 NA NA
1560718800.0 136.8521 NA 175 0 NA NA NA NA 301 0 NA NA NA NA 3050 176 NA NA NA NA 2967 621 NA NA NA
1560718800.0 136.854 NA 242 457 0 NA NA NA 448 777 0 NA NA NA 4234 17535 1428 NA NA NA 3797 7156 1555 NA NA
1560718800.0 136.8561 NA 234 360 0 NA NA NA 390 602 0 NA NA NA 1588 3083 796 NA NA NA 2508 2880 859 NA NA
1560718800.0 136.8562 NA 203 351 0 NA NA NA 364 580 0 NA NA NA 1431 2923 798 NA NA NA 2875 2478 1026 NA NA
1560718800.0 136.858 NA 229 363 0 NA NA NA 386 626 0 NA NA NA 2452 4518 1310 NA NA NA 3737 5451 1518 NA NA
1560718800.0 136.863 NA 256 452 0 NA NA NA 427 745 0 NA NA NA 4782 20941 1468 NA NA NA 4097 8025 1759 NA NA
1560718800.0 136.866 NA 263 465 0 NA NA NA 422 765 0 NA NA NA 4795 22328 1456 NA NA NA 4116 8502 1663 NA NA
1560718800.0 136.867 NA 240 505 0 NA NA NA 431 843 0 NA NA NA 4450 20927 1477 NA NA NA 3851 8100 1797 NA NA
1560718800.0 136.869 NA 249 479 0 NA NA NA 409 833 0 NA NA NA 4914 22738 1428 NA NA NA 4126 8447 1657 NA NA
1560718800.0 136.87 NA 227 364 0 NA NA NA 393 620 0 NA NA NA 2673 4677 1456 NA NA NA 4537 5282 2059 NA NA
1560718800.0 136.871 NA 258 486 0 NA NA NA 463 839 0 NA NA NA 5290 27575 1529 NA NA NA 4414 11012 1936 NA NA
1560718800.0 136.872 NA 242 468 0 NA NA NA 424 816 0 NA NA NA 4783 24834 1471 NA NA NA 4240 10263 1739 NA NA
1560718800.0 136.878 NA 255 464 0 NA NA NA 442 733 0 NA NA NA 4690 20401 1447 NA NA NA 4091 8099 1646 NA NA
1560718800.0 136.881 NA 235 458 0 NA NA NA 421 739 0 NA NA NA 4307 18168 1449 NA NA NA 3825 7674 1635 NA NA
1560718800.0 136.882 NA 229 412 0 NA NA NA 396 697 0 NA NA NA 2032 4605 1110 NA NA NA 2161 3447 1437 NA NA
1560718800.0 136.884 NA 239 466 0 NA NA NA 428 790 0 NA NA NA 4446 20879 1454 NA NA NA 3952 8071 1602 NA NA
1560718800.0 136.886 NA 268 488 0 NA NA NA 415 864 0 NA NA NA 4258 20040 1465 NA NA NA 3981 8410 1643 NA NA
